Date_Scrap,Power Station,Plant Name,Location,Latitude,Longitude,Confidence_Location,Unit name,Status,Fuel(s),Capacity (MW),Technology,Start year,Retired year,Owner,URL,
1/23/2024,Melamaruthur power station (Vainateya),Melamaruthur power station (Vainateya),"Melamaruthur, Ottapidarum, Thoothukudi, Tamil Nadu, India",8.9159,78.1374,approximate,Unit 1,cancelled,coal - unknown,660,unknown,,,Vainateya Power Pvt Ltd [100.0%],https://www.gem.wiki/Melamaruthur_power_station_(Vainateya),
1/23/2024,Melmandai power station,Melmandai power station,"Melmandai, Vilathikulam, Thoothukudi, Tamil Nadu, India",9.1,78.316111,approximate,Unit 2,cancelled,coal - unknown,300,unknown,,,Periyar Energy [100.0%],https://www.gem.wiki/Melmandai_power_station,
1/23/2024,Melmandai power station,Melmandai power station,"Melmandai, Vilathikulam, Thoothukudi, Tamil Nadu, India",9.1,78.316111,approximate,Unit 1,cancelled,coal - unknown,300,unknown,,,Periyar Energy [100.0%],https://www.gem.wiki/Melmandai_power_station,
1/23/2024,Mendki thermal power project,Mendki thermal power project,"Mendki, Brahmapuri, Chandrapur, Maharashtra, India",20.466667,79.8,approximate,Unit 1,cancelled,coal - unknown,1320,unknown,,,Maharashtra State Power Generation Co Ltd (MAHAGENCO) [100.0%],https://www.gem.wiki/Mendki_thermal_power_project,
1/23/2024,Meramandali power station,Meramandali power station,"Bhushan Meramandali steel mill, Odapada, Dhenkanal, Odisha, India",20.8072919,85.2531512,exact,Unit 1,operating,coal - unknown,150,subcritical,2009,,Tata Steel Ltd [100.0%],https://www.gem.wiki/Meramandali_power_station,
1/23/2024,Meramandali power station,Meramandali power station,"Bhushan Meramandali steel mill, Odapada, Dhenkanal, Odisha, India",20.8072919,85.2531512,exact,Unit 2,operating,coal - unknown,150,subcritical,2009,,Tata Steel Ltd [100.0%],https://www.gem.wiki/Meramandali_power_station,
1/23/2024,Meramandali power station,Meramandali power station,"Bhushan Meramandali steel mill, Odapada, Dhenkanal, Odisha, India",20.8072919,85.2531512,exact,Unit 4,cancelled,coal - unknown,185,subcritical,,,Tata Steel Ltd [100.0%],https://www.gem.wiki/Meramandali_power_station,
1/23/2024,Meramandali power station,Meramandali power station,"Bhushan Meramandali steel mill, Odapada, Dhenkanal, Odisha, India",20.8072919,85.2531512,exact,Unit 3,cancelled,coal - unknown,256,unknown,,,Tata Steel Ltd [100.0%],https://www.gem.wiki/Meramandali_power_station,
1/23/2024,Mettur Siscol power station,Mettur Siscol power station,"Mettur Dist, Tamil Nadu, India",11.814008,77.919073,exact,Unit 2,operating,coal - unknown,30,subcritical,2006,,JSW Holdings Ltd [100.0%],https://www.gem.wiki/Mettur_Siscol_power_station,
1/23/2024,Mettur Siscol power station,Mettur Siscol power station,"Mettur Dist, Tamil Nadu, India",11.814008,77.919073,exact,Unit 1,operating,coal - unknown,30,subcritical,2006,,JSW Holdings Ltd [100.0%],https://www.gem.wiki/Mettur_Siscol_power_station,
