Date_Scrap,Power Station,Plant Name,Location,Latitude,Longitude,Confidence_Location,Unit name,Status,Fuel(s),Capacity (MW),Technology,Start year,Retired year,Owner,URL,
1/23/2024,Lal Kuan Mill power station,Lal Kuan Mill power station,"Nainital Dist, Uttarakhand, India",29.062378,79.521661,exact,Unit 4,operating,coal - unknown,43,subcritical,2011,,Century Pulp And Paper Ltd [100.0%],https://www.gem.wiki/Lal_Kuan_Mill_power_station,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 6,shelved,coal - unknown,660,supercritical,,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 5,shelved,coal - unknown,660,supercritical,,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 4,shelved,coal - unknown,660,supercritical,,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 2,operating,coal - unknown,660,supercritical,2016,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 3,operating,coal - unknown,660,supercritical,2016,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lalitpur power project,Lalitpur power project,"Mirchwara and Buraugaon, Mahroni, Lalitpur, Uttar Pradesh, India",24.795833,78.646944,exact,Unit 1,operating,coal - unknown,660,supercritical,2015,,Lalitpur Power Generation Co Ltd (LPGCL) [100.0%],https://www.gem.wiki/Lalitpur_power_project,
1/23/2024,Lanco Amarkantak Thermal Power Project,Lanco Amarkantak Thermal Power Project,"Pathadi, Korba, Korba, Chhattisgarh, India",22.2454,82.7246,exact,Unit 2,operating,coal - bituminous,300,subcritical,2010,,Lanco Amarkantak Power Ltd [100.0%],https://www.gem.wiki/Lanco_Amarkantak_Thermal_Power_Project,
1/23/2024,Lanco Amarkantak Thermal Power Project,Lanco Amarkantak Thermal Power Project,"Pathadi, Korba, Korba, Chhattisgarh, India",22.2454,82.7246,exact,Unit 4,cancelled,coal - bituminous,660,subcritical,,,Lanco Amarkantak Power Ltd [100.0%],https://www.gem.wiki/Lanco_Amarkantak_Thermal_Power_Project,
1/23/2024,Lanco Amarkantak Thermal Power Project,Lanco Amarkantak Thermal Power Project,"Pathadi, Korba, Korba, Chhattisgarh, India",22.2454,82.7246,exact,Unit 1,operating,coal - bituminous,300,subcritical,2009,,Lanco Amarkantak Power Ltd [100.0%],https://www.gem.wiki/Lanco_Amarkantak_Thermal_Power_Project,
1/23/2024,Lanco Amarkantak Thermal Power Project,Lanco Amarkantak Thermal Power Project,"Pathadi, Korba, Korba, Chhattisgarh, India",22.2454,82.7246,exact,Unit 3,cancelled,coal - bituminous,660,subcritical,,,Lanco Amarkantak Power Ltd [100.0%],https://www.gem.wiki/Lanco_Amarkantak_Thermal_Power_Project,
1/23/2024,Lanjigarh Refinery power station,Lanjigarh Refinery power station,"Viswanathpur, Kalahandi, Odisha, India",19.711863,83.397785,exact,Unit 1,operating,coal - unknown,30,subcritical,2008,,Vedanta Resources Ltd [100.0%],https://www.gem.wiki/Lanjigarh_Refinery_power_station,
